variable,value
lat,23
lon,120.227
timezone,Asia/Taipei
timezone_offset,28800
current_dt,1713806130
current_sunrise,1713821508
current_sunset,1713867760
current_temp,298.15
current_feels_like,298.87
current_pressure,1010
current_humidity,83
current_dew_point,295.06
current_uvi,0
current_clouds,75
current_visibility,10000
current_wind_speed,0.51
current_wind_deg,120
current_weather_0_id,803
current_weather_0_main,Clouds
current_weather_0_description,多雲
current_weather_0_icon,04n
minutely_0_dt,1713806160
minutely_0_precipitation,0
minutely_1_dt,1713806220
minutely_1_precipitation,0
minutely_2_dt,1713806280
minutely_2_precipitation,0
minutely_3_dt,1713806340
minutely_3_precipitation,0
minutely_4_dt,1713806400
minutely_4_precipitation,0
minutely_5_dt,1713806460
minutely_5_precipitation,0
minutely_6_dt,1713806520
minutely_6_precipitation,0
minutely_7_dt,1713806580
minutely_7_precipitation,0
minutely_8_dt,1713806640
minutely_8_precipitation,0
minutely_9_dt,1713806700
minutely_9_precipitation,0
minutely_10_dt,1713806760
minutely_10_precipitation,0
minutely_11_dt,1713806820
minutely_11_precipitation,0
minutely_12_dt,1713806880
minutely_12_precipitation,0
minutely_13_dt,1713806940
minutely_13_precipitation,0
minutely_14_dt,1713807000
minutely_14_precipitation,0
minutely_15_dt,1713807060
minutely_15_precipitation,0
minutely_16_dt,1713807120
minutely_16_precipitation,0
minutely_17_dt,1713807180
minutely_17_precipitation,0
minutely_18_dt,1713807240
minutely_18_precipitation,0
minutely_19_dt,1713807300
minutely_19_precipitation,0
minutely_20_dt,1713807360
minutely_20_precipitation,0
minutely_21_dt,1713807420
minutely_21_precipitation,0
minutely_22_dt,1713807480
minutely_22_precipitation,0
minutely_23_dt,1713807540
minutely_23_precipitation,0
minutely_24_dt,1713807600
minutely_24_precipitation,0
minutely_25_dt,1713807660
minutely_25_precipitation,0
minutely_26_dt,1713807720
minutely_26_precipitation,0
minutely_27_dt,1713807780
minutely_27_precipitation,0
minutely_28_dt,1713807840
minutely_28_precipitation,0
minutely_29_dt,1713807900
minutely_29_precipitation,0
minutely_30_dt,1713807960
minutely_30_precipitation,0
minutely_31_dt,1713808020
minutely_31_precipitation,0
minutely_32_dt,1713808080
minutely_32_precipitation,0
minutely_33_dt,1713808140
minutely_33_precipitation,0
minutely_34_dt,1713808200
minutely_34_precipitation,0
minutely_35_dt,1713808260
minutely_35_precipitation,0
minutely_36_dt,1713808320
minutely_36_precipitation,0
minutely_37_dt,1713808380
minutely_37_precipitation,0
minutely_38_dt,1713808440
minutely_38_precipitation,0
minutely_39_dt,1713808500
minutely_39_precipitation,0
minutely_40_dt,1713808560
minutely_40_precipitation,0
minutely_41_dt,1713808620
minutely_41_precipitation,0
minutely_42_dt,1713808680
minutely_42_precipitation,0
minutely_43_dt,1713808740
minutely_43_precipitation,0
minutely_44_dt,1713808800
minutely_44_precipitation,0
minutely_45_dt,1713808860
minutely_45_precipitation,0
minutely_46_dt,1713808920
minutely_46_precipitation,0
minutely_47_dt,1713808980
minutely_47_precipitation,0
minutely_48_dt,1713809040
minutely_48_precipitation,0
minutely_49_dt,1713809100
minutely_49_precipitation,0
minutely_50_dt,1713809160
minutely_50_precipitation,0
minutely_51_dt,1713809220
minutely_51_precipitation,0
minutely_52_dt,1713809280
minutely_52_precipitation,0
minutely_53_dt,1713809340
minutely_53_precipitation,0
minutely_54_dt,1713809400
minutely_54_precipitation,0
minutely_55_dt,1713809460
minutely_55_precipitation,0
minutely_56_dt,1713809520
minutely_56_precipitation,0
minutely_57_dt,1713809580
minutely_57_precipitation,0
minutely_58_dt,1713809640
minutely_58_precipitation,0
minutely_59_dt,1713809700
minutely_59_precipitation,0
