datetime,temperature,feels_like,min_temp,max_temp,pressure,humidity,description,wind_speed,wind_deg
2024-04-22 18:00:00,297.76,298.26,296.47,297.76,1007,76,moderate rain,3.71,269
2024-04-22 21:00:00,297.17,297.79,296.55,297.17,1007,83,light rain,1.51,139
2024-04-23 00:00:00,299.17,299.17,299.17,299.17,1009,74,light rain,0.9,103
2024-04-23 03:00:00,302.42,304.01,302.42,302.42,1009,56,broken clouds,3.11,294
2024-04-23 06:00:00,303.56,304.01,303.56,303.56,1007,45,scattered clouds,5.54,296
2024-04-23 09:00:00,301.04,302.88,301.04,301.04,1007,64,broken clouds,5.31,296
2024-04-23 12:00:00,298.9,299.57,298.9,298.9,1010,78,broken clouds,2.77,294
2024-04-23 15:00:00,297.75,298.54,297.75,297.75,1011,87,light rain,1.55,347
2024-04-23 18:00:00,296.73,297.52,296.73,296.73,1010,91,moderate rain,1.84,21
2024-04-23 21:00:00,295.79,296.56,295.79,295.79,1009,94,moderate rain,4.05,46
2024-04-24 00:00:00,295.24,295.93,295.24,295.24,1012,93,moderate rain,3.7,56
2024-04-24 03:00:00,294.55,295.15,294.55,294.55,1012,92,moderate rain,4.18,47
2024-04-24 06:00:00,294.64,295.14,294.64,294.64,1011,88,moderate rain,3.95,67
2024-04-24 09:00:00,294.18,294.64,294.18,294.18,1011,88,light rain,3.64,64
2024-04-24 12:00:00,294.18,294.66,294.18,294.18,1012,89,light rain,3.02,77
2024-04-24 15:00:00,294.42,294.95,294.42,294.42,1012,90,light rain,2.44,90
2024-04-24 18:00:00,294.61,295.19,294.61,294.61,1011,91,light rain,1.14,122
2024-04-24 21:00:00,294.65,295.26,294.65,294.65,1011,92,light rain,0.81,200
2024-04-25 00:00:00,295.46,296.04,295.46,295.46,1012,88,overcast clouds,1.22,70
2024-04-25 03:00:00,299.61,299.61,299.61,299.61,1010,71,overcast clouds,1.11,95
2024-04-25 06:00:00,298.39,298.98,298.39,298.39,1009,77,light rain,3.06,296
2024-04-25 09:00:00,297.1,297.77,297.1,297.1,1009,85,light rain,0.86,359
2024-04-25 12:00:00,295.83,296.66,295.83,295.83,1009,96,moderate rain,0.23,73
2024-04-25 15:00:00,295.57,296.4,295.57,295.57,1010,97,heavy intensity rain,1.53,269
2024-04-25 18:00:00,294.88,295.59,294.88,294.88,1008,95,moderate rain,1.55,223
2024-04-25 21:00:00,295.46,296.1,295.46,295.46,1008,90,light rain,2.9,226
2024-04-26 00:00:00,295.66,296.32,295.66,295.66,1007,90,light rain,2.6,155
2024-04-26 03:00:00,298.93,299.57,298.93,298.93,1008,77,overcast clouds,2.11,14
2024-04-26 06:00:00,298.27,298.93,298.27,298.27,1007,80,light rain,1.28,177
2024-04-26 09:00:00,298.76,299.39,298.76,298.76,1007,77,overcast clouds,0.86,321
2024-04-26 12:00:00,297.28,297.99,297.28,297.28,1008,86,overcast clouds,1.5,90
2024-04-26 15:00:00,296.62,297.32,296.62,296.62,1008,88,overcast clouds,1.76,83
2024-04-26 18:00:00,296.07,296.77,296.07,296.07,1008,90,light rain,1.28,202
2024-04-26 21:00:00,295.6,296.36,295.6,295.6,1008,94,moderate rain,3.57,259
2024-04-27 00:00:00,296.21,296.87,296.21,296.21,1008,88,moderate rain,1.65,148
2024-04-27 03:00:00,301.91,303.78,301.91,301.91,1007,60,overcast clouds,2.46,302
2024-04-27 06:00:00,296.36,297.14,296.36,296.36,1008,92,moderate rain,3.13,241
2024-04-27 09:00:00,297.21,297.94,297.21,297.21,1007,87,moderate rain,1.23,310
2024-04-27 12:00:00,296.67,297.43,296.67,296.67,1008,90,overcast clouds,1.75,133
2024-04-27 15:00:00,296.57,297.27,296.57,296.57,1009,88,overcast clouds,2.01,124
